ChEMBL ID;Name;Synonyms;Type;Max Phase;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;Passes Ro3;QED Weighted;CX Acidic pKa;CX Basic pKa;CX LogP;CX LogD;Aromatic Rings;Structure Type;Inorganic Flag;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Molecular Species;Molecular Formula;Smiles;Inchi Key
CHEMBL1488;URACIL MUSTARD;NSC-34462|U-8344|URACIL MUSTARD|URAMUSTINE;Small molecule;4;252.10;84;110;0.35;68.96;3;2;0;5;N;0.74;8.76;None;0.41;0.39;1;MOL;0;15;5;2;0;2.510.228;NEUTRAL;C8H11Cl2N3O2;O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1;IDPUKCWIGUEADI-UHFFFAOYSA-N
CHEMBL315838;ENCAINIDE;ENCAINIDE;Small molecule;4;352.48;10;81;4.36;41.57;3;1;0;6;N;0.84;None;9.48;4.49;2.42;2;MOL;0;26;4;1;0;3.522.151;BASE;C22H28N2O2;COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1;PJWPNDMDCLXCOM-UHFFFAOYSA-N
CHEMBL1200760;BALSALAZIDE DISODIUM;BALSALAZIDE DISODIUM|BALSALAZIDE DISODIUM ANHYDROUS|BALSALAZIDE DISODIUM DIHYDRATE|BALSALAZIDE DISODIUM SALT DIHYDRATE|BALSALAZIDE SODIUM|BALSALAZINE|BX-661A|BX661A|COLAZIDE|Colazal|GIAZO|NSC-760046;Small molecule;4;401.29;1;1;2.71;148.65;6;4;0;7;N;0.56;3.06;None;3.17;-3.62;2;MOL;0;26;9;4;0;3.570.961;ACID;C17H13N3Na2O6;O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+];CKMOQBVBEGCJGW-LLIZZRELSA-L
CHEMBL457547;MICAFUNGIN;MICAFUNGIN|MYCAMINE;Small molecule;4;1270.29;107;1721;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;0;None;None;None;None;12.694.384;None;C56H71N9O23S;CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1;PIEUQSKUWLMALL-YABMTYFHSA-N
CHEMBL968;FLURAZEPAM;Dalmane|FLURAZEPAM|Flurazepam|INSUMIN;Small molecule;4;387.89;16;95;4.00;35.91;3;0;0;6;N;0.75;None;8.71;3.95;2.62;2;MOL;0;27;4;0;0;3.871.514;BASE;C21H23ClFN3O;CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21;SAADBVWGJQAEFS-UHFFFAOYSA-N
CHEMBL3544974;ASENAPINE MALEATE;ASENAPINE (AS MALEATE)|ASENAPINE MALEATE|ORG 5222|ORG-5222|SAPHRIS;Small molecule;4;401.85;3;4;4.26;12.47;2;0;0;0;N;0.72;None;7.29;3.72;3.47;2;MOL;0;20;2;0;0;2.850.920;NEUTRAL;C21H20ClNO5;CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1.O=C(O)/C=C\C(=O)O;GMDCDXMAFMEDAG-BTJKTKAUSA-N
CHEMBL1096;AMLEXANOX;AA-673|AMLEXANOX|AMOXANOX|APHTHEAL|Aphthasol|CHX 3673|CHX-3673|ELICS|SOLFA;Small molecule;4;298.30;42;91;2.75;106.42;5;2;0;2;N;0.70;4.31;1.87;3.65;0.69;3;MOL;0;22;6;3;0;2.980.954;ACID;C16H14N2O4;CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1;SGRYPYWGNKJSDL-UHFFFAOYSA-N
CHEMBL1410;NONOXYNOL 9;C-FILM|Conceptrol|DELFEN|DOUBLE CHECK|DURAGEL|Emko|GYGEL|GYNOL 11|Gynol II|IGEPAL CO-630|Intercept|NONOXINOL 9|NONOXINOLUM 9|NONOXYNOL 9|NONOXYNOL-9|NONOXYNOL-9.5|NONYLPHENOXYPOLYETHOXYETHANOL|NORFOX NP-9|NSC-758941|ORTHO-CREME|ORTHO-FORMS|PEG-9 NONYL PHENYL ETHER|PRELUDE|Semicid|TERGITOL NP-9|TODAY|Today Sponge;Small molecule;4;616.83;33;114;4.48;103.30;10;1;1;35;N;0.11;None;None;4.82;4.82;1;MOL;0;43;10;1;1;6.164.186;NEUTRAL;C33H60O10;CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1;FBWNMEQMRUMQSO-UHFFFAOYSA-N
CHEMBL1201204;CEFPIRAMIDE;CEFPIRAMIDE|NSC-759869|WY-44,635|WY-44635;Small molecule;4;612.65;16;58;0.33;212.76;13;5;2;9;N;0.16;3.19;3.85;0.15;-2.91;3;MOL;0;42;15;5;2;6.121.209;ACID;C25H24N8O7S2;Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1;PWAUCHMQEXVFJR-PMAPCBKXSA-N
CHEMBL91;MICONAZOLE;Conofite|DUMICOAT|Dermazole|LORAMYC|MICONAZOLE|Micatin|Miconazole|Monistat|Monistat-3|Monistat-Derm|NSC-170986|ORAVIG|Vusion;Small molecule;4;416.14;343;2571;6.45;27.05;3;0;1;6;N;0.46;None;6.48;5.96;5.92;3;MOL;0;25;3;0;1;4.139.860;NEUTRAL;C18H14Cl4N2O;Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1;BYBLEWFAAKGYCD-UHFFFAOYSA-N
CHEMBL1723;ALFUZOSIN HYDROCHLORIDE;ALFUTRAL SR|ALFUZOSIN HCL|ALFUZOSIN HYDROCHLORIDE|BENESTAN|BENESTAN RET|BESAVAR XL|FUZATAL XL|KELANU XL|SL 77 499-10|SL-77-499-10|SL-77499-10|URION S|Uroxatral|VASRAN XL|XATRAL|XATRAL SR|ZUFAL XL;Small molecule;4;425.92;9;29;1.35;111.83;8;2;0;8;N;0.65;None;7.30;1.19;0.94;2;MOL;0;28;9;3;0;3.892.063;NEUTRAL;C19H28ClN5O4;COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl;YTNKWDJILNVLGX-UHFFFAOYSA-N
CHEMBL3989908;ENASIDENIB;AG 221|AG-221|CC-90007 Free Base|ENASIDENIB;Small molecule;4;473.38;7;29;4.29;108.74;8;3;0;6;N;0.46;11.37;4.25;4.59;4.59;3;MOL;0;33;8;3;0;4.731.399;NEUTRAL;C19H17F6N7O;CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1;DYLUUSLLRIQKOE-UHFFFAOYSA-N
CHEMBL404849;SULOCTIDIL;BEMPERIL|CEREBRO|CIRCLETON|CP-556S|DULASI|DULOCTIL|EUVASAL|FLUVERSIN|FLUVISCO|HEMOANTIN|IANGENE|LOCTIDON|LOCTON|MJF 12637|MJF-12637|OCTAMET|POLIVASAL|SUDIL|SULOCTIDIL|SULOCTON|SULODENE;Small molecule;4;337.57;23;66;5.56;32.26;3;2;1;12;N;0.39;13.87;9.76;5.61;3.31;1;MOL;0;23;2;2;1;3.372.439;BASE;C20H35NOS;CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1;BFCDFTHTSVTWOG-UHFFFAOYSA-N
CHEMBL1889140;ROPIVACAINE HYDROCHLORIDE;NAROPIN|Narapin|ROPIVACAINE HCL|ROPIVACAINE HYDROCHLORIDE|ROPIVACAINE HYDROCHLORIDE HYDRATE|ROPIVACAINE HYDROCHLORIDE MONOHYDRATE;Small molecule;4;310.87;15;22;3.51;32.34;2;1;0;4;N;0.91;13.62;7.82;4.07;3.51;1;MOL;0;20;3;1;0;2.742.045;NEUTRAL;C17H27ClN2O;CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl;NDNSIBYYUOEUSV-RSAXXLAASA-N
CHEMBL24;ATENOLOL;ANTIPRESSAN|ATENAMIN|ATENIX-100|ATENIX-25|ATENIX-50|ATENOLOL|ATENOLOLUM|BETACARD|C07AB03|COROTENOL|DURAATENOLOL|Esatenolol|ICI 66,082|ICI 66082|ICI-66082|Ibinolo|JUVENTAL|KENTOL|MYOCORD|NOVATEN|NSC-757832|PRENORMINE|TENORMIN 25|TENORMIN L.S.|TOTAMOL|Tenormin|UROSIN|Unibloc|VASATEN;Small molecule;4;266.34;180;893;0.45;84.58;4;3;0;8;N;0.64;None;9.67;0.43;-1.80;1;MOL;0;19;5;4;0;2.661.630;BASE;C14H22N2O3;CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;METKIMKYRPQLGS-UHFFFAOYSA-N
CHEMBL1201313;CHLOPHEDIANOL;ANTITUSSIN|CLOFEDANOL|Chlophedianol|NSC-113595|TUSSISTOP;Small molecule;4;289.81;5;5;3.53;23.47;2;1;0;5;N;0.91;13.18;8.87;3.46;1.97;2;MOL;0;20;2;1;0;2.891.233;BASE;C17H20ClNO;CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl;WRCHFMBCVFFYEQ-UHFFFAOYSA-N
CHEMBL3833389;DEXTROMORAMIDE;ACSCN-9613|ALCOID|DEXTROMORAMIDE|IDS-ND-003|JETRIUM|LINFADOL|MCP-875|MORAMIDE|NARCOLO|PALFADONNA|R-875|RACEMORAMIDE, (S)-|SKF-5137|TROXILAN|YETRIUM;Small molecule;4;392.54;;;3.71;32.78;3;0;0;6;N;0.75;None;7.67;3.80;3.35;2;MOL;0;29;4;0;0;3.922.464;NEUTRAL;C25H32N2O2;C[C@@H](CC(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)N1CCOCC1;XHKXWINHANRSNT-NRFANRHFSA-N
CHEMBL2107354;MIFAMURTIDE;CGP-19835|L-MTP-PE|MIFAMURTIDE|MIFAMURTIDE SODIUM HYDRATE|MIFAMURTIDE SODIUM SALT MONOHYDRATE|SODIUM MIFAMURTIDE;Small molecule;4;1277.51;;;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;0;None;None;None;None;12.367.485;None;C59H110N6NaO20P;CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCCNC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC.O.[Na+];SARBMGXGWXCXFW-GJHVZSAVSA-M
CHEMBL4650319;MOBOCERTINIB;AP-32788|AP32788|MOBOCERTINIB|TAK-788;Small molecule;4;585.71;;;5.08;113.85;10;2;2;12;N;0.17;12.78;8.87;5.26;3.79;4;MOL;0;43;11;2;3;5.853.064;BASE;C32H39N7O4;C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C;AZSRSNUQCUDCGG-UHFFFAOYSA-N
CHEMBL2109152;MINERAL OIL;ALPHA KERI|ASHBOURNE EMOLLIENT|AVEENO|Balneol|DERMALO|DOUBLEBASE|E-905D|EMMOLATE|EMULSIDERM|GPPE EMOLLIENT|HEAVY LIQUID PETROLATUM|INS NO.905D|INS-905D|LACRI-LUBE|LIQ PARAF LIGHT|LIQUID PARAFFIN|LIQUID PETROLATUM|LUBRI-TEARS|MINERAL OIL|MINERAL OIL, HEAVY|MINERAL OIL,HEAVY|MINERAL OIL,REFINED|Neo-Cultol|Nujol|OILATUM JNR|PARAFFIN, LIQUID|PARAFFINUM LIQUIDUM|PETROLAGAR|PETROLATUM, LIQUID|RAE'S|ZEROLATUM|ZEROLATUM PLUS;Small molecule;4;;;;;;;;;;;;;;;;;NONE;0;;;;;;;;;
CHEMBL1214185;ROXITHROMYCIN;NSC-758443|ROXITHROMYCIN|RU 28965|RU 965|RU-28965|RU-965|RULID|Rulide;Small molecule;4;837.06;143;672;2.21;216.89;17;5;2;13;N;0.08;12.45;9.08;3.00;1.32;0;MOL;0;58;17;5;2;8.365.246;BASE;C41H76N2O15;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O;RXZBMPWDPOLZGW-XMRMVWPWSA-N
CHEMBL1200989;ALCLOMETASONE DIPROPIONATE;ALCLOMETASONE|ALCLOMETASONE 17,21-DIPROPIONATE|ALCLOMETASONE DIPROPIONATE|Aclovate|MODRASONE|NSC-758914|SCH 22219|SCH-22219;Small molecule;4;521.05;2;21;3.94;106.97;7;1;1;6;N;0.42;None;None;3.97;3.97;0;MOL;0;36;7;1;1;5.202.228;NEUTRAL;C28H37ClO7;CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl;DJHCCTTVDRAMEH-DUUJBDRPSA-N
CHEMBL2106388;CALCIUM HYDROXIDE;CALCAREA CAUSTICA|CALCIUM HYDROXIDE|CALCIUM HYDROXIDE (CA(OH)2)|CALCIUM HYDROXIDE SOLUTION|E-526|INS NO.526|INS-526|LIME HYDRATE|LIME WATER|SLAKED LIME|SLAKED-LIME;Small molecule;4;74.09;;;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;1;None;None;None;None;739.681;None;H2CaO2;[Ca+2].[OH-].[OH-];AXCZMVOFGPJBDE-UHFFFAOYSA-L
CHEMBL3989958;IVOSIDENIB;AG-120|IVOSIDENIB|TIBSOVO;Small molecule;4;582.97;4;29;4.32;119.29;6;1;1;7;N;0.44;12.14;1.81;3.01;3.01;3;MOL;0;41;9;1;1;5.821.394;NEUTRAL;C28H22ClF3N6O3;N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1;WIJZXSAJMHAVGX-DHLKQENFSA-N
CHEMBL2028019;CARIPRAZINE;CARIPRAZINE|FRI-7000188|GED-129|MP-214|REAGILA|RGH-188;Small molecule;4;427.42;19;87;4.34;38.82;3;1;0;5;N;0.76;None;7.91;4.06;3.43;1;MOL;0;28;5;1;0;4.261.953;NEUTRAL;C21H32Cl2N4O;CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1;KPWSJANDNDDRMB-QAQDUYKDSA-N
CHEMBL1200794;OXYMORPHONE HYDROCHLORIDE;Numorphan|OPANA ER|OXYMORPHONE HCL|OXYMORPHONE HYDROCHLORIDE|Opana;Small molecule;4;337.80;3;4;0.75;70.00;5;2;0;0;N;0.74;10.07;8.21;0.78;0.01;1;MOL;0;22;5;2;0;3.011.314;NEUTRAL;C17H20ClNO4;CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl;BCGJBQBWUGVESK-KCTCKCTRSA-N
CHEMBL1200950;CLIDINIUM BROMIDE;CLIDINIUM BROMIDE|NSC-756686|Quarzan|RO 2-3773|RO-2-3773|RO-23773;Small molecule;4;432.36;10;20;2.70;46.53;3;1;0;4;N;0.68;11.05;None;-1.08;-1.08;2;MOL;0;26;4;1;0;3.521.907;NEUTRAL;C22H26BrNO3;C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-];GKEGFOKQMZHVOW-UHFFFAOYSA-M
CHEMBL1200761;CHLOROTRIANISENE;CHLOROTRIANISENE|CHLORTRIANISESTROL|NSC-10108|TRIANISESTROL|Tace;Small molecule;4;380.87;41;80;5.87;27.69;3;0;1;6;N;0.50;None;None;5.43;5.43;3;MOL;0;27;3;0;1;3.801.179;NEUTRAL;C23H21ClO3;COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1;BFPSDSIWYFKGBC-UHFFFAOYSA-N
CHEMBL2079699;SODIUM STIBOGLUCONATE;ANTIMONY SODIUM GLUCONATE|PENTOSTAM|SODIUM STIBOGLUCONATE|SODIUM STIBOGLUCONATE ANHYDROUS|SOLUSTIBOSAN;Small molecule;4;907.88;12;181;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;7.438.235;None;C12H35Na3O26Sb2;;
CHEMBL1200686;PIMECROLIMUS;Elidel|PIMECROLIMUS|SDZ ASM 981|SDZ ASM-981|SDZ-ASM 981|SDZ-ASM-981;Small molecule;4;810.47;8;22;5.72;158.13;11;2;3;6;N;0.15;9.96;None;6.81;6.81;0;MOL;0;56;12;2;3;8.094.481;NEUTRAL;C43H68ClNO11;CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC;KASDHRXLYQOAKZ-XDSKOBMDSA-N
CHEMBL1201301;MANGAFODIPIR;MANGAFODIPIR;Small molecule;4;691.38;1;14;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;6.910.614;None;C22H30MnN4O14P2;;
CHEMBL782;TOLBUTAMIDE;1-BUTYL-3-(P-TOLYLSULFONYL)UREA|ARKOZAL|BUTAMIDE|DIABETAMID|GLYCONON|IPOGLICONE|NSC-23813|NSC-87833|Orinase|PRAMIDEX|RASTINON|TOLBUTAMIDE|TOLBUTAMIDUM|Tolbutamide|WILLBUTAMIDE;Small molecule;4;270.35;77;1663;1.78;75.27;3;2;0;5;N;0.80;4.33;None;2.30;1.36;1;MOL;0;18;5;2;0;2.701.038;ACID;C12H18N2O3S;CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1;JLRGJRBPOGGCBT-UHFFFAOYSA-N
CHEMBL1672;CEFPODOXIME;CEFPODOXIME|Cefpodoxime|EPOXIM|ORELOX|ORELOX PAED;Small molecule;4;427.46;20;182;-0.54;156.44;10;3;0;7;N;0.30;2.75;3.61;-1.27;-3.99;1;MOL;0;28;11;4;1;4.270.620;ACID;C15H17N5O6S2;COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1;WYUSVOMTXWRGEK-HBWVYFAYSA-N
CHEMBL530;AMDINOCILLIN;AMDINOCILLIN|Coactin|FL 1060|FL-1060|MECILLINAM|RO 10-9070|RO-10-9070|SELEXIDIN;Small molecule;4;325.43;19;50;1.41;73.21;4;1;0;3;N;0.48;3.30;7.92;-0.55;-0.66;0;MOL;0;22;6;1;0;3.251.460;ACID;C15H23N3O3S;CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O;BWWVAEOLVKTZFQ-ISVUSNJMSA-N
CHEMBL1201124;KETOROLAC TROMETHAMINE;ACULAR LS|ACULAR PRESERVATIVE FREE|ACUVAIL|Acular|DOLAC|KETOROLAC TROMETAMOL|KETOROLAC TROMETHAMINE|LIXIDOL|NSC-758637|SPRIX|TARASYN|Toradol;Small molecule;4;376.41;26;44;2.29;59.30;3;1;0;3;Y;0.86;3.84;None;2.28;-0.96;2;MOL;0;19;4;1;0;2.550.895;ACID;C19H24N2O6;NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O;BWHLPLXXIDYSNW-UHFFFAOYSA-N
CHEMBL13209;NITRAZEPAM;BENZALIN|Mogadon|N05CD02|NITRADOS|NITRAZEPAM|NITRAZEPAMUM|NSC-58775|REMNOS|RO 4-5360|RO 5-3059|RO-4-5360|RO-45360|RO-5-3059|RO-53059|SOMNITE|UNISOMNIA;Small molecule;4;281.27;140;644;2.38;84.60;4;1;0;2;N;0.68;11.66;2.65;2.55;2.55;2;MOL;0;21;6;1;0;2.810.800;NEUTRAL;C15H11N3O3;O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1;KJONHKAYOJNZEC-UHFFFAOYSA-N
CHEMBL207538;BREXANOLONE;ALLOPREGNAN-3.ALPHA.-OL-20-ONE|ALLOPREGNANOLONE|ALLOTETRAHYDROPROGESTERONE|BREXANOLONE|SAGE-547|SGE-102|ZULRESSO;Small molecule;4;318.50;45;192;4.60;37.30;2;1;0;1;N;0.77;None;None;3.99;3.99;0;MOL;0;23;2;1;0;3.182.559;NEUTRAL;C21H34O2;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;AURFZBICLPNKBZ-SYBPFIFISA-N
CHEMBL1762;TOCAINIDE;TOCAINIDE|Tocainide|W-36095;Small molecule;4;192.26;145;855;1.59;55.12;2;2;0;2;Y;0.75;13.65;8.23;1.88;1.00;1;MOL;0;14;3;3;0;1.921.263;NEUTRAL;C11H16N2O;Cc1cccc(C)c1NC(=O)C(C)N;BUJAGSGYPOAWEI-UHFFFAOYSA-N
CHEMBL488;AMINOGLUTETHIMIDE;AMINOGLUTETHIMIDE|Aminoglutethimide|Cytadren|NSC-330915|ORIMETEN;Small molecule;4;232.28;227;762;1.35;72.19;3;2;0;2;N;0.60;11.69;4.28;1.30;1.30;1;MOL;0;17;4;3;0;2.321.212;NEUTRAL;C13H16N2O2;CCC1(c2ccc(N)cc2)CCC(=O)NC1=O;ROBVIMPUHSLWNV-UHFFFAOYSA-N
CHEMBL1201758;BEPOTASTINE;BEPOTASTINE|BETOTASTINE|Bepreve;Small molecule;4;388.90;1;1;4.17;62.66;4;1;0;8;N;0.73;4.10;9.39;0.55;0.55;2;MOL;0;27;5;1;0;3.881.554;ZWITTERION;C21H25ClN2O3;O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1;YWGDOWXRIALTES-NRFANRHFSA-N
CHEMBL1201059;CHLOROGUANIDE HYDROCHLORIDE;336-U-50|336U50|CHLORGUANIDE HYDROCHLORIDE|CHLOROGUANIDE HYDROCHLORIDE|CHLOROQUANIL|DIGUANYL|DRINUPAL|GUANATOL|GW AH7673A|GW-AH7673A|GWAH7673A|M-4888|NSC-12977|NSC-26614|PALUSIL|PROGUANIL|PROGUANIL HCL|PROGUANIL HYDROCHLORIDE|PROGUANILI HYDROCHLORIDUM|Paludrine|Proguanil chloride|RP-3359|SN-12837;Small molecule;4;290.20;14;34;2.21;83.79;2;5;0;2;N;0.41;None;10.40;2.38;-0.78;1;MOL;0;17;5;5;0;2.531.094;BASE;C11H17Cl2N5;CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1.Cl;SARMGXPVOFNNNG-UHFFFAOYSA-N
CHEMBL1201293;ACAMPROSATE;ACAMPROSATE;Small molecule;4;181.21;5;19;-0.60;83.47;3;2;0;4;N;0.45;-0.88;None;-2.75;-4.10;0;MOL;0;11;5;2;0;1.810.409;ACID;C5H11NO4S;CC(=O)NCCCS(=O)(=O)O;AFCGFAGUEYAMAO-UHFFFAOYSA-N
CHEMBL454446;CEFDITOREN PIVOXIL;CDTR-PI|CEFDITOREN PIVALOYLOXYMETHYL ESTER|CEFDITOREN PIVOXIL|Cefditoren|Cefditoren pivoxil|ME-1207|ME1207|Meiact|NSC-759098|SPECTRACEF;Small molecule;4;620.74;26;251;2.30;175.40;14;2;2;9;N;0.14;10.82;3.40;2.82;2.82;2;MOL;0;41;13;3;2;6.201.182;NEUTRAL;C25H28N6O7S3;CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1;AFZFFLVORLEPPO-UVYJNCLZSA-N
CHEMBL4650272;TRILACICLIB DIHYDROCHLORIDE;COSELA|TRILACICLIB DIHYDROCHLORIDE;Small molecule;4;519.48;;;2.72;91.21;8;2;0;3;N;0.64;11.59;7.65;2.74;2.29;3;MOL;0;33;9;2;0;4.462.543;NEUTRAL;C24H32Cl2N8O;CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1.Cl.Cl;BRCYOXKEDFAUSA-UHFFFAOYSA-N
CHEMBL2107834;RIOCIGUAT;ADEMPAS|BAY 63-2521|BAY-63-2521|RIOCIGUAT;Small molecule;4;422.42;10;44;2.44;138.07;9;2;0;4;N;0.51;None;3.50;2.69;2.69;4;MOL;0;31;10;4;0;4.221.615;NEUTRAL;C20H19FN8O2;COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N;WXXSNCNJFUAIDG-UHFFFAOYSA-N
CHEMBL175;DEXIBUPROFEN;(S)-IBUPROFEN|DEXIBUPROFEN|IBU-TAB|NSC-759814|Neoprofen|Rufen|S-IBUPROFEN|SERACTIL;Small molecule;4;206.28;147;680;3.07;37.30;1;1;0;4;N;0.82;4.85;None;3.84;1.34;1;MOL;0;15;2;1;0;2.061.307;ACID;C13H18O2;CC(C)Cc1ccc([C@H](C)C(=O)O)cc1;HEFNNWSXXWATRW-JTQLQIEISA-N
CHEMBL1200907;TRILOSTANE;DESOPAN|MODRENAL|Modrastane|NSC-758904|TRILOSTANE|WIN 24,540|WIN-24540;Small molecule;4;329.44;7;12;3.47;76.78;4;2;0;0;N;0.67;5.23;None;2.30;0.15;0;MOL;0;24;4;2;0;3.291.991;ACID;C20H27NO3;C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O;KVJXBPDAXMEYOA-CXANFOAXSA-N
CHEMBL686;MEFENAMIC ACID;CI-473|CN-35355|CONTRAFLAM|DYSMAN-250|DYSMAN-500|GARDAN|INF-3355|J2.344B|M01AG01|MEFENAMIC ACID|MEFENAMINIC ACID|MEFLAM 250|MEFLAM 500|MENDYS|MEPHENAMIC ACID|MEPHENAMINIC ACID|NSC-94437|OPUSTAN 250|OPUSTAN 500|PONSTAN|PONSTAN FTE|Ponstel;Small molecule;4;241.29;185;2228;3.75;49.33;2;2;0;3;N;0.86;3.89;None;5.40;2.18;2;MOL;0;18;3;2;0;2.411.103;ACID;C15H15NO2;Cc1cccc(Nc2ccccc2C(=O)O)c1C;HYYBABOKPJLUIN-UHFFFAOYSA-N
CHEMBL2105002;ISOAMINILE;2C-B-AN|DIMYRIL|ISOAMINILE|ISOAMINILE CITRATE|PEROCAN;Small molecule;4;244.38;2;5;3.44;27.03;2;0;0;5;N;0.79;None;8.73;3.63;2.29;1;MOL;0;18;2;0;0;2.441.939;BASE;C16H24N2;CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C;WFLSCFISQHLEED-UHFFFAOYSA-N
